date,open,high,low,close,volume,market_cap
2021-01-01,28923.63000000,29600.00000000,28624.57000000,29331.69000000,34089717988.090446,545593282215.2498
2021-01-02,29331.70000000,33300.00000000,28946.53000000,32178.33000000,57273436641.22308,597887713053.5825
2021-01-03,32176.45000000,34778.11000000,31962.99000000,33000.05000000,178894068361.35312,613616917625.6967
2021-01-04,33000.05000000,33600.00000000,28130.00000000,31988.71000000,74657165356.22716,585726270248.7891
2021-01-05,31989.75000000,34360.00000000,29900.00000000,33949.53000000,67420500715.520256,633651671519.3958
2021-01-06,33949.53000000,36939.21000000,33288.00000000,36769.36000000,71027195897.95125,682743683563.0741
2021-01-07,36769.36000000,40365.00000000,36300.00000000,39432.28000000,78642959829.4919,735339707368.3339
2021-01-08,39432.48000000,41950.00000000,36500.00000000,40582.81000000,82846468856.35208,758971014787.3597
2021-01-09,40586.96000000,41380.00000000,38720.00000000,40088.22000000,55921808671.54423,749347201462.6359
2021-01-10,40088.22000000,41350.00000000,35111.11000000,38150.02000000,73381123612.69325,714078952009.0243
2021-01-11,38150.02000000,38264.74000000,30420.00000000,35404.47000000,111691569520.10521,663380898829.0051
2021-01-12,35410.37000000,36628.00000000,32531.00000000,34051.24000000,68954134557.3671,629751630408.4126
2021-01-13,34049.15000000,37850.00000000,32380.00000000,37371.38000000,65278944793.97605,696668634091.3435
2021-01-14,37371.38000000,40100.00000000,36701.23000000,39144.50000000,57519444621.68669,729751433670.0881
2021-01-15,39145.21000000,39747.76000000,34408.00000000,36742.22000000,63450740093.03335,684304915288.2261
2021-01-16,36737.43000000,37950.00000000,35357.80000000,35994.98000000,55054325262.44017,674660879866.02
2021-01-17,35994.98000000,36852.50000000,33850.00000000,35828.61000000,50749258739.19448,672291934493.4396
2021-01-18,35824.99000000,37469.83000000,34800.00000000,36631.27000000,46769030146.76761,682647247200.097
2021-01-19,36622.46000000,37850.00000000,35844.06000000,35891.49000000,51736994549.005974,671734819189.1033
2021-01-20,35901.94000000,36415.31000000,33400.00000000,35468.23000000,58406615612.06859,662434464441.264
2021-01-21,35468.23000000,35600.00000000,30071.00000000,30850.13000000,69415314297.66626,575205510268.1292
2021-01-22,30851.99000000,33826.53000000,28850.00000000,32945.17000000,69549742252.37038,613271077002.4795
2021-01-23,32950.00000000,33456.00000000,31390.16000000,32078.00000000,43575409684.64115,596744391345.3533
2021-01-24,32078.00000000,33071.00000000,30900.00000000,32259.90000000,42810544126.17814,600595408892.1986
2021-01-25,32259.45000000,34875.00000000,31910.00000000,32254.20000000,50410553261.414444,602517850752.0305
2021-01-26,32254.19000000,32921.88000000,30837.37000000,32467.77000000,48489676580.41073,606573549809.8268
2021-01-27,32464.01000000,32557.29000000,29241.72000000,30366.15000000,51514291052.43235,566661443732.4073
2021-01-28,30362.19000000,33783.98000000,29842.10000000,33364.86000000,51075972572.459564,616625386428.2396
2021-01-29,33368.18000000,38531.90000000,31915.40000000,34252.20000000,97468515525.42249,635688668063.594
2021-01-30,34246.28000000,34933.00000000,32825.00000000,34262.88000000,52001249491.10806,636624676861.2642
2021-01-31,34262.89000000,34342.69000000,32171.67000000,33092.98000000,42488649643.23183,615013848827.3505
2021-02-01,33092.97000000,34717.27000000,32296.16000000,33526.37000000,49268860242.66622,621908231690.1377
2021-02-02,33517.09000000,35984.33000000,33418.00000000,35466.24000000,50730704376.60918,660664104637.4851
2021-02-03,35472.71000000,37662.63000000,35362.38000000,37618.87000000,49762137494.206696,695794870715.5251
2021-02-04,37620.26000000,38708.27000000,36161.95000000,36936.66000000,54494811707.23047,686453802173.3838
