Date,Open*,High,Low,Close**,Volume,Market Cap
12/18/2020,22797.15,23285.18,22350,23107.39,37000188847,4.2946E+11
12/19/2020,23107.39,24171.47,22750,23821.61,35252972900,4.43289E+11
12/20/2020,23821.6,24295,23060,23455.52,32907758818,4.36893E+11
12/21/2020,23455.54,24102.77,21815,22719.71,38423396405,4.2433E+11
12/22/2020,22719.88,23837.1,22353.4,23810.79,38733771616,4.41753E+11
12/23/2020,23810.79,24100,22600,23232.76,42917744240,4.33052E+11
12/24/2020,23232.39,23794.43,22703.42,23729.2,36826373659,4.41615E+11
12/25/2020,23728.99,24789.86,23433.6,24712.47,36622874230,4.58416E+11
12/26/2020,24712.47,26867.03,24500,26493.39,41995154623,4.91979E+11
12/27/2020,26493.4,28422,25700,26281.66,56654980596,4.93427E+11
12/28/2020,26281.54,27500,26101,27079.41,42186521237,5.03712E+11
12/29/2020,27079.42,27410,25880,27385,38081840206,5.0968E+11
12/30/2020,27385,28996,27320,28875.54,43341140482,5.35967E+11
12/31/2020,28875.55,29300,27850,28923.63,43503516563,5.39438E+11
1/1/2021,28923.63,29600,28624.57,29331.69,34089717988,5.45593E+11
1/2/2021,29331.7,33300,28946.53,32178.33,57273436641,5.97888E+11
1/3/2021,32176.45,34778.11,31962.99,33000.05,1.78894E+11,6.13617E+11
1/4/2021,33000.05,33600,28130,31988.71,74657165356,5.85726E+11
1/5/2021,31989.75,34360,29900,33949.53,67420500716,6.33652E+11
1/6/2021,33949.53,36939.21,33288,36769.36,71027195898,6.82744E+11
1/7/2021,36769.36,40365,36300,39432.28,78642959829,7.3534E+11
1/8/2021,39432.48,41950,36500,40582.81,82846468856,7.58971E+11
1/9/2021,40586.96,41380,38720,40088.22,55921808672,7.49347E+11
1/10/2021,40088.22,41350,35111.11,38150.02,73381123613,7.14079E+11
1/11/2021,38150.02,38264.74,30420,35404.47,1.11692E+11,6.63381E+11
1/12/2021,35410.37,36628,32531,34051.24,68954134557,6.29752E+11
1/13/2021,34049.15,37850,32380,37371.38,65278944794,6.96669E+11
1/14/2021,37371.38,40100,36701.23,39144.5,57519444622,7.29751E+11
1/15/2021,39145.21,39747.76,34408,36742.22,63450740093,6.84305E+11
1/16/2021,36737.43,37950,35357.8,35994.98,55054325262,6.74661E+11
1/17/2021,35994.98,36852.5,33850,35828.61,50749258739,6.72292E+11
1/18/2021,35824.99,37469.83,34800,36631.27,46769030147,6.82647E+11
1/19/2021,36622.46,37850,35844.06,35891.49,51736994549,6.71735E+11
1/20/2021,35901.94,36415.31,33400,35468.23,58406615612,6.62434E+11
1/21/2021,35468.23,35600,30071,30850.13,69415314298,5.75206E+11
1/22/2021,30851.99,33826.53,28850,32945.17,69549742252,6.13271E+11
1/23/2021,32950,33456,31390.16,32078,43575409685,5.96744E+11
1/24/2021,32078,33071,30900,32259.9,42810544126,6.00595E+11
1/25/2021,32259.45,34875,31910,32254.2,50410553261,6.02518E+11
1/26/2021,32254.19,32921.88,30837.37,32467.77,48489676580,6.06574E+11
1/27/2021,32464.01,32557.29,29241.72,30366.15,51514291052,5.66661E+11
1/28/2021,30362.19,33783.98,29842.1,33364.86,51075972572,6.16625E+11
1/29/2021,33368.18,38531.9,31915.4,34252.2,97468515525,6.35689E+11
1/30/2021,34246.28,34933,32825,34262.88,52001249491,6.36625E+11
1/31/2021,34262.89,34342.69,32171.67,33092.98,42488649643,6.15014E+11
2/1/2021,33092.97,34717.27,32296.16,33526.37,49268860243,6.21908E+11
2/2/2021,33517.09,35984.33,33418,35466.24,50730704377,6.60664E+11
2/3/2021,35472.71,37662.63,35362.38,37618.87,49762137494,6.95795E+11
2/4/2021,37620.26,38708.27,36161.95,36936.66,54494811707,6.86454E+11
2/5/2021,36936.65,38310.12,36570,38290.24,47446256482,7.0632E+11
2/6/2021,38289.32,40955.51,38215.94,39186.94,57076868562,7.32453E+11
2/7/2021,39181.01,39700,37351,38795.69,53802559039,7.23435E+11
2/8/2021,38795.69,46794.45,37988.89,46374.87,86994225365,8.62414E+11
2/9/2021,46374.86,48142.19,44961.09,46420.42,78828431117,8.67165E+11
2/10/2021,46420.42,47310,43727,44807.58,70000356396,8.39561E+11
2/11/2021,44807.58,48678.9,43994.02,47969.51,66187179919,8.90629E+11
2/12/2021,47968.66,48985.8,46125,47287.6,61942185129,8.80621E+11
2/13/2021,47298.15,48150,46202.53,47153.69,55312381649,8.74425E+11
2/14/2021,47156.78,49707.43,47014.17,48577.79,57738376570,9.05515E+11
2/15/2021,48580.47,49010.92,45570.79,47911.1,61061855794,8.92345E+11
2/16/2021,47911.1,50689.18,47003.62,49133.45,64141133354,9.1734E+11
2/17/2021,49133.45,52618.74,48947,52119.71,68478739131,9.71517E+11
2/18/2021,52117.67,52530,50901.9,51552.6,58486508606,9.63911E+11
2/19/2021,51552.61,56368,50710.2,55906,71397235197,1.04419E+12
2/20/2021,55906,57700.46,53863.93,55841.19,77351787996,1.05056E+12
2/21/2021,55841.19,58352.8,55477.59,57408.57,61223272211,1.07538E+12
2/22/2021,57412.35,57508.47,47622,54087.67,1.01532E+11,1.01209E+12
2/23/2021,54087.67,54183.59,44892.56,48891,1.1669E+11,9.04134E+11
2/24/2021,48891,51374.99,46988.69,49676.2,73140585469,9.29082E+11
2/25/2021,49676.21,52041.73,46674.34,47073.73,60355381276,8.75884E+11
2/26/2021,47073.73,48424.11,44106.78,46276.87,74357197464,8.69071E+11
2/27/2021,46276.88,48394,45000,46106.43,50989764249,8.6965E+11
2/28/2021,46103.67,46638.46,43000,45135.66,59679588927,8.38308E+11
3/1/2021,45134.11,49790,44950.53,49587.03,63218569172,9.28147E+11
3/2/2021,49595.76,50200,47047.6,48440.65,53499537417,9.05413E+11
3/3/2021,48436.61,52640,48100.71,50349.37,59212268141,9.4297E+11
3/4/2021,50349.37,51773.88,47500,48374.09,60749587836,9.08517E+11
3/5/2021,48374.09,49448.93,46300,48751.71,56568112294,9.11379E+11
3/6/2021,48746.81,49200,47070,48882.2,41478786533,9.16505E+11
3/7/2021,48882.2,51450.03,48882.2,50971.75,46146324828,9.55041E+11
3/8/2021,50959.11,52402.78,49274.67,52375.17,53568946626,9.74195E+11
3/9/2021,52375.18,54895,51789.41,54884.5,57418251743,1.01898E+12
3/10/2021,54874.67,57387.69,53005,55851.59,63560545037,1.04481E+12
3/11/2021,55851.59,58150,54272.82,57773.16,64605228618,1.07784E+12
3/12/2021,57773.15,58081.51,54962.84,57221.72,59984971692,1.06978E+12
3/13/2021,57221.72,61844,56078.23,61188.39,67332756651,1.14519E+12
3/14/2021,61188.38,61724.79,58966.78,58968.31,48104078384,1.11168E+12
3/15/2021,58976.08,60633.43,54600,55605.2,70594488700,1.0492E+12
3/16/2021,55605.2,56938.29,53271.34,56900.75,63219904254,1.06022E+12
3/17/2021,56900.74,58974.73,54123.69,58912.97,63368268626,1.10103E+12
3/18/2021,58912.97,60129.97,57023,57648.16,58387006276,1.08107E+12
3/19/2021,57641,59468,56270.74,58030.01,51948388931,1.08674E+12
3/20/2021,58030.01,59880,57820.17,58102.28,54549112636,1.09002E+12
3/21/2021,58100.02,58589.1,55450.11,57351.56,55664123838,1.07436E+12
3/22/2021,57351.56,58430.73,53650,54083.25,62001716795,1.02064E+12
3/23/2021,54083.25,55830.9,53000,54340.89,60383378707,1.01764E+12
3/24/2021,54342.8,57200,51700,52303.65,73029051195,9.82797E+11
3/25/2021,52303.66,53287,50427.56,51293.78,63401640503,9.59155E+11
3/26/2021,51293.78,55073.46,51214.6,55025.59,55442557956,1.02721E+12
3/27/2021,55025.59,56700.36,53950,55817.14,47285749219,1.04218E+12
3/28/2021,55817.14,56559.75,54691.84,55777.63,49315845081,1.03933E+12
3/29/2021,55777.65,58405.82,54800.01,57635.47,57387039705,1.07594E+12
3/30/2021,57635.46,59368,57071.35,58746.57,52387542501,1.09529E+12
3/31/2021,58746.57,59800,56769,58740.55,57495844478,1.09813E+12
4/1/2021,58739.46,59490,57935.45,58720.44,54320681401,1.09858E+12
4/2/2021,58720.45,60200,58428.57,58950.01,52224918752,1.10313E+12
4/3/2021,58950.01,59791.72,56880,57051.94,52067853988,1.0671E+12
4/4/2021,57051.95,58492.85,56388,58202.01,46156767978,1.08734E+12
4/5/2021,58202.01,59272,56777.77,59129.99,54670173277,1.0962E+12
4/6/2021,59129.99,59495.24,57413.02,57991.15,61497704158,1.08434E+12
4/7/2021,57990.03,58655,55473,55953.45,67617613532,1.05076E+12
4/8/2021,55953.44,58153.31,55700,58077.52,48714359354,1.08336E+12
4/9/2021,58077.52,58894.9,57654,58142.54,45880879042,1.08579E+12
4/10/2021,58142.55,61500,57900.01,59769.13,61788197399,1.11622E+12
4/11/2021,59769.13,60699,59232.52,60002.43,46792500387,1.12061E+12
4/12/2021,59998.8,61300,59350.59,59860,55994558889,1.11853E+12
4/13/2021,59860.01,63777.77,59805.15,63575,71993120011,1.18774E+12
4/14/2021,63575.01,64854,61301,62959.53,80157135508,1.17341E+12
4/15/2021,62959.53,63800,62020,63159.98,60495376851,1.17956E+12
4/16/2021,63158.74,63520.61,60000,61334.8,86260673270,1.1496E+12
4/17/2021,61334.81,62506.05,59580.91,60006.66,63808212133,1.12559E+12
4/18/2021,60006.67,60499,50931.3,56150.01,1.02066E+11,1.05362E+12
4/19/2021,56150.01,57526.81,54221.58,55633.14,66156275210,1.04315E+12
4/20/2021,55633.14,57076.24,53329.96,56425,68166802216,1.05515E+12
4/21/2021,56425,56757.91,53536.02,53787.63,56115370322,1.0127E+12
4/22/2021,53787.62,55521.48,50500,51690.96,77897442832,9.71175E+11
4/23/2021,51690.95,52131.85,47500,51125.14,91138220375,9.56744E+11
4/24/2021,51110.56,51166.22,48657.14,50047.84,49296256746,9.37015E+11
4/25/2021,50047.84,50567.91,46930,49066.77,46233432154,9.15534E+11
4/26/2021,49066.76,54356.62,48753.44,54001.39,60226926860,1.00839E+12
4/27/2021,54001.38,55460,53222,55011.97,48468560013,1.02762E+12
4/28/2021,55011.97,56428,53813.16,54846.22,48072930663,1.02463E+12
4/29/2021,54846.23,55195.84,52330.94,53555,46958036373,1.00197E+12
4/30/2021,53555,57963,53013.01,57694.27,53879045974,1.08272E+12
5/1/2021,57697.25,58458.07,56956.14,57800.37,43967070046,1.0809E+12
